year,Fairfield County,Hartford County,Litchfield County,Middlesex County,New Haven County,New London County,Tolland County,Windham County
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2010,919371,895214,189762,165624,863398,274019,153242,118543
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2011,928099,896900,188979,166199,863974,273086,153066,118329
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2012,935293,897795,187591,165677,864732,274173,152005,117945
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2013,940189,897837,186866,165390,863035,273093,151831,117551
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2014,944524,897618,185380,164857,863149,271593,151766,116810
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2015,945323,896563,184171,163809,860506,269818,151815,116556
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2016,945096,894282,182837,163403,858159,268639,151223,116191
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2017,944107,893141,181719,163058,857845,267829,151136,116489
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
2018,945511,892767,181151,163053,856895,267089,150913,117182
